user_id,group,converted,event_time,country,device,channel
11856,treatment,0,2026-02-25 13:48:00,UK,mobile,email
10885,treatment,0,2026-03-04 21:40:00,UK,mobile,organic
385,control,0,2026-02-11 15:04:00,US,mobile,organic
3809,control,0,2026-02-14 02:19:00,IN,desktop,organic
5365,control,0,2026-03-07 18:21:00,US,mobile,organic
2390,control,0,2026-02-19 20:12:00,US,mobile,referral
11051,treatment,0,2026-02-25 03:51:00,DE,mobile,paid
6190,control,0,2026-02-11 17:23:00,US,desktop,email
999,control,0,2026-02-05 18:43:00,UK,mobile,organic
5915,control,0,2026-02-23 16:03:00,UK,mobile,organic
5470,control,0,2026-03-12 17:02:00,US,mobile,paid
12388,treatment,0,2026-02-20 19:55:00,US,mobile,organic
6747,treatment,0,2026-02-22 09:33:00,DE,mobile,paid
7899,treatment,0,2026-03-14 04:57:00,CA,mobile,paid
4319,control,1,2026-03-16 13:48:00,IN,mobile,organic
436,control,0,2026-02-10 01:44:00,US,mobile,referral
12312,treatment,0,2026-02-04 10:52:00,IN,desktop,organic
3250,control,1,2026-02-14 10:37:00,DE,mobile,email
4631,control,1,2026-03-10 01:15:00,IN,desktop,organic
7054,treatment,0,2026-02-26 11:47:00,IN,tablet,organic
10632,treatment,0,2026-02-22 19:03:00,CA,mobile,organic
5347,control,0,2026-03-17 21:39:00,UK,desktop,organic
5397,control,0,2026-02-16 11:10:00,UK,mobile,paid
2040,control,0,2026-03-12 00:28:00,UK,mobile,organic
3279,control,0,2026-03-05 15:41:00,US,mobile,organic
8001,treatment,0,2026-02-09 07:44:00,IN,mobile,organic
9678,treatment,0,2026-03-14 09:03:00,US,mobile,organic
6209,control,0,2026-03-08 13:45:00,US,tablet,organic
2639,control,0,2026-02-01 13:24:00,IN,tablet,organic
694,control,0,2026-02-12 12:21:00,IN,mobile,paid
3771,control,0,2026-02-07 11:00:00,UK,desktop,organic
5949,control,0,2026-02-09 09:18:00,IN,desktop,organic
10816,treatment,0,2026-02-24 07:49:00,UK,desktop,email
7932,treatment,0,2026-02-15 11:08:00,US,mobile,organic
5570,control,0,2026-02-09 00:49:00,IN,desktop,paid
9454,treatment,0,2026-03-11 16:36:00,IN,mobile,referral
9794,treatment,0,2026-03-01 18:41:00,US,mobile,paid
9553,treatment,0,2026-03-14 08:45:00,CA,mobile,organic
9063,treatment,0,2026-03-07 09:59:00,US,mobile,organic
9347,treatment,0,2026-02-10 13:53:00,UK,mobile,email
3842,control,0,2026-02-04 08:06:00,IN,desktop,email
535,control,1,2026-02-16 20:57:00,US,mobile,referral
12832,treatment,0,2026-02-12 11:40:00,US,desktop,paid
2568,control,0,2026-03-07 14:57:00,US,mobile,email
10276,treatment,1,2026-02-03 20:35:00,US,mobile,referral
4994,control,0,2026-03-11 15:20:00,UK,desktop,organic
8637,treatment,0,2026-02-05 20:02:00,US,tablet,paid
10135,treatment,0,2026-02-20 17:20:00,US,mobile,organic
9716,treatment,0,2026-02-09 17:43:00,US,desktop,organic
8984,treatment,0,2026-02-06 12:51:00,UK,tablet,email
35,control,0,2026-02-09 11:04:00,US,mobile,email
8057,treatment,0,2026-02-23 07:28:00,UK,mobile,paid
9945,treatment,0,2026-03-15 23:19:00,CA,mobile,organic
4211,control,0,2026-02-12 13:24:00,US,mobile,organic
5157,control,0,2026-02-27 15:39:00,IN,mobile,paid
1701,control,0,2026-02-12 00:40:00,US,desktop,organic
8070,treatment,0,2026-02-18 21:19:00,IN,mobile,paid
4087,control,0,2026-02-10 10:42:00,IN,mobile,paid
3400,control,0,2026-03-15 21:08:00,IN,desktop,email
